Day,Month,Year,Weekday ID,Weekday,School Holidays,National Holidays,Anomalies,Region 1,Region 2,Selected
16,3,2019,6,Saturday,0,0,0,NA,NA,0
17,3,2019,7,Sunday,0,0,0,NA,NA,0
18,3,2019,1,Monday,0,0,0,NA,NA,0
19,3,2019,2,Tuesday,0,0,0,NA,NA,0
20,3,2019,3,Wednesday,0,0,0,NA,NA,0
21,3,2019,4,Thursday,0,0,0,NA,NA,1
22,3,2019,5,Friday,0,0,0,NA,NA,1
23,3,2019,6,Saturday,0,0,0,NA,NA,1
24,3,2019,7,Sunday,0,0,0,NA,NA,1
25,3,2019,1,Monday,0,0,0,NA,NA,0
26,3,2019,2,Tuesday,0,0,0,NA,NA,0
27,3,2019,3,Wednesday,0,0,0,NA,NA,0
28,3,2019,4,Thursday,0,0,0,NA,NA,0
29,3,2019,5,Friday,0,0,0,NA,NA,0
30,3,2019,6,Saturday,0,0,0,NA,NA,0
31,3,2019,7,Sunday,0,0,0,NA,NA,0
1,4,2019,1,Monday,0,0,0,NA,NA,0
2,4,2019,2,Tuesday,0,0,0,NA,NA,0
3,4,2019,3,Wednesday,0,0,0,NA,NA,0
4,4,2019,4,Thursday,0,0,0,NA,NA,2
5,4,2019,5,Friday,0,0,0,NA,NA,2
6,4,2019,6,Saturday,0,0,0,NA,NA,2
7,4,2019,7,Sunday,0,0,0,NA,NA,2
8,4,2019,1,Monday,1,0,0,NA,NA,0
9,4,2019,2,Tuesday,1,0,1,Bordeaux,NA,0
10,4,2019,3,Wednesday,1,0,0,NA,NA,0
11,4,2019,4,Thursday,1,0,0,NA,NA,0
12,4,2019,5,Friday,1,0,1,Bordeaux,Toulouse,0
13,4,2019,6,Saturday,1,0,0,NA,NA,0
14,4,2019,7,Sunday,1,0,1,All,NA,0
15,4,2019,1,Monday,1,0,0,NA,NA,0
16,4,2019,2,Tuesday,1,0,0,NA,NA,0
17,4,2019,3,Wednesday,1,0,0,NA,NA,0
18,4,2019,4,Thursday,1,0,0,NA,NA,0
19,4,2019,5,Friday,1,0,0,NA,NA,0
20,4,2019,6,Saturday,1,0,0,NA,NA,0
21,4,2019,7,Sunday,1,0,0,NA,NA,0
22,4,2019,1,Monday,1,1,0,NA,NA,0
23,4,2019,2,Tuesday,1,0,0,NA,NA,0
24,4,2019,3,Wednesday,1,0,0,NA,NA,0
25,4,2019,4,Thursday,1,0,0,NA,NA,0
26,4,2019,5,Friday,1,0,0,NA,NA,0
27,4,2019,6,Saturday,1,0,0,NA,NA,0
28,4,2019,7,Sunday,1,0,0,NA,NA,0
29,4,2019,1,Monday,1,0,0,NA,NA,0
30,4,2019,2,Tuesday,1,0,0,NA,NA,0
1,5,2019,3,Wednesday,1,1,0,NA,NA,0
2,5,2019,4,Thursday,1,0,0,NA,NA,0
3,5,2019,5,Friday,1,0,0,NA,NA,0
4,5,2019,6,Saturday,1,0,0,NA,NA,0
5,5,2019,7,Sunday,1,0,0,NA,NA,0
6,5,2019,1,Monday,0,0,0,NA,NA,0
7,5,2019,2,Tuesday,0,0,0,NA,NA,0
8,5,2019,3,Wednesday,0,1,0,NA,NA,0
9,5,2019,4,Thursday,0,0,0,NA,NA,0
10,5,2019,5,Friday,0,0,0,NA,NA,0
11,5,2019,6,Saturday,0,0,0,NA,NA,0
12,5,2019,7,Sunday,0,0,1,All,NA,0
13,5,2019,1,Monday,0,0,0,NA,NA,0
14,5,2019,2,Tuesday,0,0,0,NA,NA,0
15,5,2019,3,Wednesday,0,0,0,NA,NA,0
16,5,2019,4,Thursday,0,0,0,NA,NA,3
17,5,2019,5,Friday,0,0,0,NA,NA,3
18,5,2019,6,Saturday,0,0,0,NA,NA,3
19,5,2019,7,Sunday,0,0,0,NA,NA,3
20,5,2019,1,Monday,0,0,0,NA,NA,0
21,5,2019,2,Tuesday,0,0,0,NA,NA,0
22,5,2019,3,Wednesday,0,0,1,Bordeaux,Toulouse,0
23,5,2019,4,Thursday,0,0,1,Bordeaux,Toulouse,0
24,5,2019,5,Friday,0,0,1,Bordeaux,Toulouse,0
25,5,2019,6,Saturday,0,0,1,Bordeaux,Toulouse,0
26,5,2019,7,Sunday,0,0,0,NA,NA,0
27,5,2019,1,Monday,0,0,0,NA,NA,0
28,5,2019,2,Tuesday,0,0,0,NA,NA,0
29,5,2019,3,Wednesday,0,0,0,NA,NA,0
30,5,2019,4,Thursday,0,1,0,NA,NA,0
31,5,2019,5,Friday,0,0,0,NA,NA,0
