"City";"IRIS";"Cluster_H";"Cluster_LU"
"Bordeaux";330030101;3;4
"Bordeaux";330030102;3;2
"Bordeaux";330030103;3;2
"Bordeaux";330030104;3;2
"Bordeaux";330040000;3;4
"Bordeaux";330130101;2;2
"Bordeaux";330130104;3;2
"Bordeaux";330320101;3;2
"Bordeaux";330320102;3;2
"Bordeaux";330320103;3;3
"Bordeaux";330320104;3;3
"Bordeaux";330390101;2;1
"Bordeaux";330390102;2;2
"Bordeaux";330390103;2;2
"Bordeaux";330390104;2;3
"Bordeaux";330390105;2;4
"Bordeaux";330390106;2;3
"Bordeaux";330390107;2;3
"Bordeaux";330390108;2;2
"Bordeaux";330390109;3;3
"Bordeaux";330390110;3;3
"Bordeaux";330560101;3;4
"Bordeaux";330560102;3;2
"Bordeaux";330560103;3;4
"Bordeaux";330560104;3;2
"Bordeaux";330560105;3;2
"Bordeaux";330560106;3;3
"Bordeaux";330560107;3;4
"Bordeaux";330630101;3;3
"Bordeaux";330630103;1;3
"Bordeaux";330630201;1;3
"Bordeaux";330630202;1;3
"Bordeaux";330630203;1;1
"Bordeaux";330630204;2;3
"Bordeaux";330630301;1;3
"Bordeaux";330630302;1;3
"Bordeaux";330630303;1;3
"Bordeaux";330630305;2;3
"Bordeaux";330630306;2;3
"Bordeaux";330630307;1;1
"Bordeaux";330630308;1;3
"Bordeaux";330630309;1;3
"Bordeaux";330630310;1;1
"Bordeaux";330630311;1;1
"Bordeaux";330630312;1;1
"Bordeaux";330630313;1;3
"Bordeaux";330630401;1;3
"Bordeaux";330630402;1;1
"Bordeaux";330630403;2;1
"Bordeaux";330630404;1;3
"Bordeaux";330630405;1;3
"Bordeaux";330630501;1;3
"Bordeaux";330630502;1;1
"Bordeaux";330630503;1;1
"Bordeaux";330630504;1;1
"Bordeaux";330630505;1;3
"Bordeaux";330630506;1;1
"Bordeaux";330630507;1;3
"Bordeaux";330630508;1;1
"Bordeaux";330630601;1;1
"Bordeaux";330630602;1;3
"Bordeaux";330630603;1;2
"Bordeaux";330630604;1;3
"Bordeaux";330630605;1;1
"Bordeaux";330630606;1;1
"Bordeaux";330630607;1;1
"Bordeaux";330630608;2;1
"Bordeaux";330630609;1;1
"Bordeaux";330630701;2;2
"Bordeaux";330630702;2;3
"Bordeaux";330630703;2;2
"Bordeaux";330630704;2;2
"Bordeaux";330630705;2;2
"Bordeaux";330630706;3;2
"Bordeaux";330630801;2;2
"Bordeaux";330630802;2;2
"Bordeaux";330630803;2;2
"Bordeaux";330630804;2;2
"Bordeaux";330630805;3;2
"Bordeaux";330630806;3;2
"Bordeaux";330630807;2;2
"Bordeaux";330630808;3;2
"Bordeaux";330630809;2;2
"Bordeaux";330630901;1;3
"Bordeaux";330630902;1;2
"Bordeaux";330630903;1;2
"Bordeaux";330630904;1;2
"Bordeaux";330630905;1;1
"Bordeaux";330631001;1;1
"Bordeaux";330631002;1;3
"Bordeaux";330631003;1;3
"Bordeaux";330631004;1;1
"Bordeaux";330631005;1;1
"Bordeaux";330631006;1;1
"Bordeaux";330631101;1;1
"Bordeaux";330631102;1;1
"Bordeaux";330631103;1;1
"Bordeaux";330631104;1;3
"Bordeaux";330631105;1;1
"Bordeaux";330631106;1;1
"Bordeaux";330631107;1;1
"Bordeaux";330631108;1;3
"Bordeaux";330631201;1;2
"Bordeaux";330631202;1;3
"Bordeaux";330631203;1;2
"Bordeaux";330631204;1;1
"Bordeaux";330631205;1;1
"Bordeaux";330631206;2;1
"Bordeaux";330631207;1;1
"Bordeaux";330631208;2;1
"Bordeaux";330631209;1;1
"Bordeaux";330631301;2;3
"Bordeaux";330631302;2;3
"Bordeaux";330631303;2;1
"Bordeaux";330631304;1;3
"Bordeaux";330631305;1;1
"Bordeaux";330650000;3;4
"Bordeaux";330690101;2;2
"Bordeaux";330690102;2;2
"Bordeaux";330690103;2;1
"Bordeaux";330690104;2;2
"Bordeaux";330690105;2;2
"Bordeaux";330690106;2;2
"Bordeaux";330690107;2;2
"Bordeaux";330690108;2;2
"Bordeaux";330690109;2;3
"Bordeaux";330750101;2;3
"Bordeaux";330750102;2;2
"Bordeaux";330750103;2;2
"Bordeaux";330750104;2;3
"Bordeaux";330750105;3;4
"Bordeaux";330960101;3;2
"Bordeaux";330960102;3;2
"Bordeaux";330960103;3;2
"Bordeaux";331190101;2;3
"Bordeaux";331190102;2;3
"Bordeaux";331190103;2;3
"Bordeaux";331190104;2;2
"Bordeaux";331190105;2;3
"Bordeaux";331190106;1;2
"Bordeaux";331190107;2;3
"Bordeaux";331190108;2;2
"Bordeaux";331190109;2;1
"Bordeaux";331620101;3;3
"Bordeaux";331620102;3;2
"Bordeaux";331620103;2;2
"Bordeaux";331620104;2;2
"Bordeaux";331620105;2;2
"Bordeaux";331620106;2;2
"Bordeaux";331620107;1;2
"Bordeaux";331670101;3;3
"Bordeaux";331670102;1;2
"Bordeaux";331670103;1;3
"Bordeaux";331670104;3;2
"Bordeaux";331670108;2;2
"Bordeaux";331670109;2;2
"Bordeaux";331670110;3;4
"Bordeaux";331920101;3;3
"Bordeaux";331920102;2;2
"Bordeaux";331920103;2;2
"Bordeaux";331920104;2;2
"Bordeaux";331920105;2;2
"Bordeaux";331920106;2;2
"Bordeaux";331920107;3;2
"Bordeaux";331920108;3;2
"Bordeaux";331920110;1;3
"Bordeaux";331920111;3;4
"Bordeaux";332000101;2;4
"Bordeaux";332000102;2;3
"Bordeaux";332000103;2;2
"Bordeaux";332000104;2;2
"Bordeaux";332490101;1;3
"Bordeaux";332490102;3;2
"Bordeaux";332490103;2;2
"Bordeaux";332490104;2;3
"Bordeaux";332490105;2;3
"Bordeaux";332490106;2;2
"Bordeaux";332490107;2;2
"Bordeaux";332490108;2;3
"Bordeaux";332490109;2;2
"Bordeaux";332490110;2;3
"Bordeaux";332730101;1;3
"Bordeaux";332730102;3;4
"Bordeaux";332810101;2;2
"Bordeaux";332810102;3;2
"Bordeaux";332810103;2;2
"Bordeaux";332810104;3;2
"Bordeaux";332810201;2;2
"Bordeaux";332810202;3;2
"Bordeaux";332810203;3;2
"Bordeaux";332810301;3;2
"Bordeaux";332810302;1;2
"Bordeaux";332810401;3;2
"Bordeaux";332810402;3;3
"Bordeaux";332810501;3;2
"Bordeaux";332810502;3;2
"Bordeaux";332810601;3;2
"Bordeaux";332810701;1;2
"Bordeaux";332810801;2;2
"Bordeaux";332810901;2;2
"Bordeaux";332811002;3;2
"Bordeaux";332811003;3;2
"Bordeaux";332811101;3;2
"Bordeaux";332811201;1;2
"Bordeaux";332811301;3;4
"Bordeaux";332811401;3;4
"Bordeaux";332811501;3;4
"Bordeaux";332811502;3;3
"Bordeaux";332811503;3;3
"Bordeaux";332811504;3;3
"Bordeaux";333120101;3;4
"Bordeaux";333120102;3;2
"Bordeaux";333120103;3;4
"Bordeaux";333180102;3;4
"Bordeaux";333180103;3;2
"Bordeaux";333180104;3;2
"Bordeaux";333180105;2;2
"Bordeaux";333180106;2;2
"Bordeaux";333180107;1;2
"Bordeaux";333180108;1;2
"Bordeaux";333180109;3;2
"Bordeaux";333180110;2;2
"Bordeaux";333180111;3;2
"Bordeaux";333180112;3;2
"Bordeaux";333180113;1;2
"Bordeaux";333180115;1;2
"Bordeaux";333180116;1;2
"Bordeaux";333180117;1;3
"Bordeaux";333180118;1;3
"Bordeaux";333180119;1;2
"Bordeaux";333180120;3;3
"Bordeaux";333180121;1;3
"Bordeaux";333180122;1;3
"Bordeaux";333180123;3;4
"Bordeaux";333180124;3;4
"Bordeaux";333760000;3;4
"Bordeaux";334340000;3;4
"Bordeaux";334490101;3;4
"Bordeaux";334490102;2;4
"Bordeaux";334490103;2;2
"Bordeaux";334490104;2;2
"Bordeaux";334490105;2;2
"Bordeaux";334490106;2;2
"Bordeaux";334490107;2;4
"Bordeaux";334490108;3;2
"Bordeaux";334490109;2;2
"Bordeaux";334490110;2;3
"Bordeaux";334490111;3;4
"Bordeaux";334490112;2;4
"Bordeaux";334490113;3;4
"Bordeaux";334870000;3;4
"Bordeaux";335190101;2;2
"Bordeaux";335190102;3;4
"Bordeaux";335190103;2;4
"Bordeaux";335220101;1;3
"Bordeaux";335220102;1;2
"Bordeaux";335220103;1;3
"Bordeaux";335220104;1;2
"Bordeaux";335220105;1;3
"Bordeaux";335220106;1;2
"Bordeaux";335220107;1;1
"Bordeaux";335220108;1;2
"Bordeaux";335220109;1;2
"Bordeaux";335220110;1;2
"Bordeaux";335220111;1;2
"Bordeaux";335220112;1;2
"Bordeaux";335220113;1;3
"Bordeaux";335500101;2;3
"Bordeaux";335500102;1;2
"Bordeaux";335500103;2;2
"Bordeaux";335500104;1;2
"Bordeaux";335500105;2;2
"Bordeaux";335500106;2;2
"Bordeaux";335500107;3;4
