"City";"NbCells";"Amazon_Web_Services";"Apple_App_Store";"Apple_iCloud";"Apple_iMessage";"Apple_iTunes";"Apple_Mail";"Apple_Music";"Apple_Siri";"Apple_Video";"Apple_Web_Services";"Clash_of_Clans";"DailyMotion";"Deezer";"Dropbox";"EA_Games";"Facebook";"Facebook_Live";"Facebook_Messenger";"Fortnite";"Google_Docs";"Google_Drive";"Google_Mail";"Google_Maps";"Google_Meet";"Google_Play_Store";"Google_Web_Services";"Instagram";"LinkedIn";"Microsoft_Azure";"Microsoft_Mail";"Microsoft_Office";"Microsoft_Skydrive";"Microsoft_Store";"Microsoft_Web_Services";"Molotov";"Netflix";"Orange_TV";"Periscope";"Pinterest";"PlayStation";"Pokemon_GO";"Skype";"Snapchat";"SoundCloud";"Spotify";"TeamViewer";"Telegram";"Tor";"Twitch";"Twitter";"Uber";"Waze";"Web_Ads";"Web_Adult";"Web_Clothes";"Web_Downloads";"Web_e-Commerce";"Web_Finance";"Web_Food";"Web_Games";"Web_Streaming";"Web_Transportation";"Web_Weather";"WhatsApp";"Wikipedia";"Yahoo";"Yahoo_Mail";"YouTube"
"Bordeaux";57846;3329233053;178296858741;120403342871;5467413710;7339606146;800102926;28370847525;1044599377;111266815613;19455001298;854777436;41945775377;96263827350;3778892626;1496064323;292358099538;179191146575;363517427;248423173;1124813409;18201054369;4921769690;11759844577;11471392483;127805315393;64047405270;725243512403;44211780327;747272233;12111921487;5313154608;2117942091;23916495520;4796951977;23876180727;237945236522;26845158014;1961455950;17916511713;8052894425;2022733184;837933400;63176426192;5115508807;4295415665;92356024;922692252;162522157;66408874831;45566137588;1161854014;5452142094;65806922818;2382527917;14371361607;86078356441;17444015205;1969354286;610064313;1637844334;23987787692;3150693325;3441883827;16390767501;896840009;5139226336;1964180942;184211676343
"Clermont-Ferrand";30393;759456512;28821900420;17964979432;533599828;1162626847;122646476;3969168677;183826070;23189038387;3113537676;180652498;7550524581;15485995940;776454934;549016708;57601012014;36036730887;62708291;35404032;184037306;2721205957;699703675;1652537228;1012646181;30082828101;13045702516;124396734864;5552811180;111445364;2079927727;875056481;222845620;4466944063;957386731;4310074966;40224262943;4841637320;246544536;3427329464;1047591259;570250658;128762845;12642011511;559384981;704655233;17381405;92591830;31486666;14571000390;10795592920;36481330;602726805;13912706475;617461719;3013401898;17600651348;3985505469;388706165;128862573;372643060;4403753128;549307278;641791169;2560572199;186879637;961643716;305441187;34664427985
"Dijon";23682;593552516;25459545952;18146369199;1115656443;1125132350;105803222;4790841230;152186721;14983449116;2989349422;155276498;7292937256;13847797536;661839894;234390212;51357537776;32272316680;56031319;44602156;199985473;2476948955;610973004;1360374053;1190674436;25617908883;10730874980;104639802162;5105094718;184728996;1660653041;683722834;541987185;5141253412;912923940;4727121341;38828611934;4863174133;502531407;2742284067;1371719171;522777201;112445986;12926781844;884221298;625098751;23962696;97098619;63459419;12954896368;14088340763;55825115;396442197;13096185961;308995714;2462154945;16006163366;3297072946;415917666;89100344;282640400;4553570316;574980147;693929108;2567037753;162778527;804946090;283508265;33537443508
"Grenoble";54412;1553374818;50254717123;29964524192;736137643;2312596240;187033537;7486147505;303249588;25366025483;5105286511;358519766;17225588585;34090668451;1123131325;504709194;94968699988;61245292795;104672869;113552178;333801046;5514841310;1266891506;2845196780;2307576829;52005010723;23426938158;186281443243;11413741349;343221399;3729596460;1232708311;711022902;7081860422;1583977541;7382385302;66975034468;7335917942;698886223;6472296648;3217390504;720225729;252315730;23154757258;1234187072;1310790450;31337585;279298252;50318640;23194227710;13532049514;110835161;758505836;24633963472;1046104837;4180572647;33061077536;7171181693;838767693;231304254;520917019;10222373932;1016096066;989281257;5625778307;307196144;2096990707;726008382;64779421068
"Lille";67750;7113513716;254385131976;166104893920;6977960341;10090558510;943266120;34451213189;1517274601;108888356723;27011817589;1516520816;64793894438;130964179957;5114360290;2429071551;486781331016;300145477842;572974774;529409747;1353233929;25859777014;6084918332;12643011749;14020686803;195060747612;95853631762;825831186195;64903786614;1129182189;17003873670;6389470749;3559845967;33651735765;6651255175;36650170420;310390885491;32651207755;4268903647;27590480409;14288775247;3705909608;812397475;112611228059;5046351228;6312861742;68200260;1087499195;291577014;104779079230;127214026514;898754545;6309581188;94009532984;4397221898;29038457841;135221750870;30327669474;3016717422;1069027760;2763871342;42986527996;4396212118;4265217926;22431929167;1185321919;8070909606;2530151268;269754182214
"Lyon";54013;4907747740;209218461130;135144708784;3193445419;8056646437;954903594;36552580267;1258444943;116187911041;25313271260;981860510;56313754410;109823303194;5660887647;1519697955;315173579620;191520904433;407774780;238991444;1087173884;22001276642;5282306880;14459647334;12328126044;149470941505;79472610182;729717328463;66068712211;775384632;16198247721;4981285179;2676246939;25573629750;5449476880;22481625252;243556176910;22927121375;2554824167;19109142399;6545733477;2778124516;923139574;75815313797;5979436068;5904034092;120954760;897626828;283027989;73372819502;61592766249;1506596189;5559181514;81170643150;2545138939;15555416100;91115612527;22388487312;2844260553;702796229;1776840680;31910029875;4134375551;3748124126;25500013289;1142717295;8131777401;2796739654;230191829817
"Mans";26859;693465667;30423822590;32063394739;1891044314;931135306;110331758;3163834414;197828983;35584302118;3721891050;172070113;7676708857;15056931952;542061031;214616202;81327307772;42849658455;96511216;45492355;180550655;2518171501;912695751;1840002627;1086756888;30759535695;12533331634;94519273145;4701394964;83876415;1846718973;328158159;405337737;3612995515;837246834;4083401472;32758029781;6321778277;375223068;2862877759;1011807188;463753321;117067315;17548265107;462384683;624663362;3616219;113593857;10312140;10949117439;15192050225;17440780;767244446;13861003332;521002180;2678838327;15315371894;3681972247;471422321;124521949;307010229;4653616466;480666664;1310269349;3633576055;161468314;812431645;309783406;27834519035
"Marseille";23663;2452419539;104988483795;76619006655;2054997328;4093924094;688970484;17614373353;624056726;56928222539;10906318953;432540844;25246390994;46170056701;1734887041;733016614;158510610613;100564871004;217266008;129152292;499798728;9640161400;2673825746;5140089036;5120831684;65994265373;35097271086;350427544781;19961655746;321740831;6908282034;2732824893;1297400637;10472829736;2586752214;11111428832;116213037136;11819816402;1079059102;8882915778;4916279796;806031726;658238410;47161137799;1973131216;2029089392;118981887;443774840;79272778;32819717218;23349701392;502386777;1397428478;38364972932;1335997180;8108237963;44924281679;11261178144;1144250911;308940020;689875491;19656727603;1871537779;1567107298;9997918074;468821458;3404759476;1246666791;111331266498
"Metz";30744;1054719699;41449452969;26094463414;2018360374;1681377353;130298121;6031565514;240223759;20867334633;4241582153;229809918;9545234158;26661821590;354045533;648793297;78341943207;49328562168;86048685;51372525;160452916;3898745881;915435965;1892819350;1753108049;30820186688;14789486928;137831168822;7738532430;103565363;2022594351;707883614;706425303;4246596981;842499661;5119575990;51257194985;6063522461;650811145;4212505796;2494169956;847367313;100745008;21684532988;684245771;1021956384;1543740;137286799;126558481;14256303538;23306326246;37066071;510279391;16611055243;454151984;4255742772;20674657253;4954255615;499830502;150898010;363096020;6985419437;713116783;853690401;3355552803;212026467;1175882641;371989952;47320258027
"Montpellier";44148;1889834491;83314500133;61575675065;1433837688;3965664394;495096379;14331874613;529324550;54384291088;9485898870;398348724;18885520715;43623492527;3339201780;583345778;147408701720;89831588250;174662330;150078450;465103886;8131790606;2477327312;5070747844;4654865774;60169580295;30729084990;319200143935;14292653870;297626315;4939797068;2146922097;1267582620;11293729635;2334188072;11146737482;111723197775;12669004508;793687788;7719870933;2917236846;918426073;389930667;38690298667;2254450297;2008767855;32901765;483086677;105153063;31452859956;22618652793;324370651;1885270295;33304356997;1225761504;7134920146;44468393130;8887302611;1215966016;236736366;815687294;13367433313;1380483843;1526423764;9712633655;398845422;2318924612;978260047;104054548069
